0.0	0.0
0.0023	0.0068
0.0045	0.0135
0.0068	0.0203
0.009	0.027
0.0113	0.0338
0.0135	0.0405
0.0158	0.0473
0.018	0.054
0.0203	0.0608
0.0225	0.0675
0.0248	0.0743
0.027	0.081
0.0293	0.0878
0.0315	0.0945
0.0338	0.1013
0.036	0.108
0.0383	0.1148
0.0405	0.1215
0.0428	0.1283
0.045	0.135
0.0473	0.1418
0.0495	0.1485
0.0518	0.1553
0.054	0.162
0.0563	0.1688
0.0585	0.1755
0.0608	0.1823
0.063	0.189
0.0653	0.1958
0.0675	0.2025
0.0698	0.2093
0.072	0.216
0.0743	0.2228
0.0765	0.2295
0.0788	0.2363
0.081	0.243
0.0833	0.2498
0.0855	0.2565
0.0878	0.2633
0.09	0.27
0.0923	0.2768
0.0945	0.2835
0.0968	0.2903
0.099	0.297
0.1013	0.3038
0.1035	0.3105
0.1058	0.3173
0.108	0.324
0.1103	0.3308
0.1125	0.3375
0.1148	0.3443
0.117	0.351
0.1193	0.3578
0.1215	0.3645
0.1238	0.3713
0.126	0.378
0.1283	0.3848
0.1305	0.3915
0.1328	0.3983
0.135	0.405
0.1373	0.4118
0.1395	0.4185
0.1418	0.4253
0.144	0.432
0.1463	0.4388
0.1485	0.4455
0.1508	0.4523
0.153	0.459
0.1553	0.4658
0.1575	0.4725
0.1598	0.4793
0.162	0.486
0.1643	0.4928
0.1665	0.4995
0.1688	0.5063
0.171	0.513
0.1733	0.5198
0.1755	0.5265
0.1778	0.5333
0.18	0.54
0.1823	0.5468
0.1845	0.5535
0.1868	0.5603
0.189	0.567
0.1913	0.5738
0.1935	0.5805
0.1958	0.5873
0.198	0.594
0.2003	0.6008
0.2025	0.6075
0.2048	0.6143
0.207	0.621
0.2093	0.6278
0.2115	0.6345
0.2138	0.6413
0.216	0.648
0.2183	0.6548
0.2205	0.6615
0.2228	0.6683
0.225	0.675
0.2273	0.6818
0.2295	0.6885
0.2318	0.6953
0.234	0.702
0.2363	0.7088
0.2385	0.7155
0.2408	0.7223
0.243	0.729
0.2453	0.7358
0.2475	0.7425
0.2498	0.7492
0.252	0.756
0.2543	0.7627
0.2565	0.7695
0.2588	0.7762
0.261	0.783
0.2633	0.7897
0.2655	0.7965
0.2678	0.8032
0.27	0.81
0.2723	0.8167
0.2745	0.8235
0.2768	0.8302
0.279	0.837
0.2813	0.8437
0.2835	0.8505
0.2858	0.8572
0.288	0.864
0.2903	0.8707
0.2925	0.8775
0.2948	0.8842
0.297	0.891
0.2993	0.8977
0.3015	0.9045
0.3038	0.9112
0.306	0.918
0.3083	0.9247
0.3105	0.9315
0.3128	0.9382
0.315	0.945
0.3173	0.9517
0.3195	0.9585
0.3218	0.9652
0.324	0.972
0.3263	0.9787
0.3285	0.9855
0.3308	0.9922
0.333	0.999
0.3353	1.0057
0.3375	1.0125
0.3398	1.0192
0.342	1.026
0.3443	1.0327
0.3465	1.0395
0.3488	1.0462
0.351	1.053
0.3533	1.0597
0.3555	1.0665
0.3578	1.0732
0.36	1.08
0.3623	1.0867
0.3645	1.0935
0.3668	1.1002
0.369	1.107
0.3713	1.1137
0.3735	1.1205
0.3758	1.1272
0.378	1.134
0.3803	1.1407
0.3825	1.1475
0.3848	1.1542
0.387	1.161
0.3893	1.1677
0.3915	1.1745
0.3938	1.1812
